date;name;isin;invested_capital;equity;cash
25.03.2017;dividende-und-momentum-deu;DE000LS9KHM4; 22078.97 ;1.0;-0.0
25.03.2017;jung-und-alt-spezial;DE000LS9JZM8; 21815.70 ;0.98;0.02
25.03.2017;dynamische-relative-staerke;DE000LS9H606; 20384.08 ;0.98;0.02
25.03.2017;dividenden-strategie-d-eu-usa;DE000LS9BTG0; 20294.18 ;0.65;0.35
25.03.2017;ar-relative-staerke;DE000LS9GPH5; 19976.23 ;0.95;0.05
25.03.2017;qualitaet-mit-relativer-staerke;DE000LS9JLW7; 19886.95 ;0.2;0.8
25.03.2017;all-time-long;DE000LS9GEX6; 19661.43 ;0.69;0.31
25.03.2017;it-software-und-ehealth;DE000LS9HM51; 19117.71 ;0.97;0.03
25.03.2017;light-version-nach-levermann;DE000LS9KMC5; 19008.14 ;1.0;0.0
25.03.2017;ratioinvest-aktien-werte;DE000LS9HN43; 18192.82 ;0.74;0.26
25.03.2017;deutsche-nebenwerte-02;DE000LS9FXF5; 18003.82 ;0.52;0.48
25.03.2017;investor-2141;DE000LS9BZS2; 17813.41 ;0.86;0.14
25.03.2017;marktfuehrer-deutschland;DE000LS9DNC8; 17547.86 ;0.71;0.29
25.03.2017;empfehlungen-von-boersenbriefen;DE000LS9JPK3; 17521.18 ;0.89;0.11
25.03.2017;bmrt-global-konservativ;DE000LS9CXV9; 17478.08 ;0.98;0.02
25.03.2017;real-value;DE000LS9J4Z4; 17429.75 ;1.0;0.0
25.03.2017;value-bollinger-analyse-ger;DE000LS9HJF0; 17323.64 ;0.61;0.39
25.03.2017;preis-und-wert-valuedepot;DE000LS9GEQ0; 17144.64 ;0.92;0.08
25.03.2017;global-opportunity-dividend-plus;DE000LS9DJF9; 16930.96 ;0.0;1.0
25.03.2017;value-werte-familienunternehmen;DE000LS9CTZ8; 16906.89 ;01. Jan;-0.01
25.03.2017;bmrt-de-trend;DE000LS9DEK0; 16878.84 ;0.91;0.09
2017-04-01;qualitaet-angelehnt-an-susan-levermann;DE000LS9AJF5; 21436693.88 ;1.0;0.0
2017-04-01;boerse-online-nebenwerte;DE000LS9BLQ6; 9786577.78 ;0.83;0.17
2017-04-01;dach-trading-invest;DE000LS9AVD5; 9652627.04 ;0.3;0.7
2017-04-01;deutscher-mittelstand;DE000LS9CTA1; 5563477.45 ;0.99;0.01
2017-04-01;carpe-diem-aktientrading;DE000LS9HFZ6; 4862455.15 ;0.39;0.61
2017-04-01;abacus;DE000LS9HZ72; 2723917.56 ;0.27;0.73
2017-04-01;chancen-suchen-und-finden;DE000LS9BNT6; 1816358.83 ;1.0;0.0
2017-04-01;special-situations;DE000LS9AKJ5; 1814464.25 ;0.94;0.06
2017-04-01;aschenputtell;DE000LS9EUF4; 1412019.26 ;0.97;0.03
2017-04-01;quality-fundamental-selection;DE000LS9JLP1; 1049834.92 ;0.7;0.3
2017-04-01;uro-am-sonntag-var-strategie;DE000LS9HDH9; 974166.86 ;0.99;0.01
2017-04-01;fundamental-unterbewertete-aktien;DE000LS9ADM4; 691306.53 ;0.82;0.18
2017-04-01;aktien-yeah;DE000LS9BUM6; 664263.04 ;0.87;0.13
2017-04-01;goldesel-investing;DE000LS9KR85; 566693.03 ;0.93;0.07
2017-04-01;trendfolge-strategie-2014;DE000LS9DMX6; 460087.53 ;0.94;0.06
2017-04-01;investmentfox-nebenwerte;DE000LS9ELB2; 439332.51 ;0.96;0.04
2017-04-01;die-dividendenstrategie;DE000LS9APT3; 430772.51 ;0.94;0.06
2017-04-01;value-momentum-plus;DE000LS9BAK2; 420438.04 ;1.0;0.0
2017-04-01;nebenwerte-deutschland;DE000LS9CSY3; 396343.02 ;0.93;0.07
2017-04-01;wachstum-mit-nur-einer-aktie;DE000LS9BDT7; 363711.99 ;0.62;0.38
2017-04-01;selektion-nach-leverm-offensiv;DE000LS9KHW3; 349350.10 ;1.0;0.0
2017-04-01;momentumstrategie-deutschland;DE000LS9BFX4; 341903.89 ;1.0;-0.0
2017-04-01;mawero-effizienz1;DE000LS9BAA3; 230566.90 ;1.0;-0.0
2017-04-01;top-pics-of-the-year;DE000LS9HYC6; 221653.37 ;1.0;-0.01
2017-04-01;solide-unternehmen;DE000LS9CWG2; 221240.44 ;0.03;0.97
2017-04-01;immobilienfirmen;DE000LS9DKA8; 219607.83 ;0.95;0.05
2017-04-01;passiv-momentum-12m;DE000LS9FGK0; 211138.18 ;1.0;-0.0
2017-04-01;trend-select-prime;DE000LS9GCT8; 207019.28 ;0.99;0.01
2017-04-01;deutsche-immobilienaktien;DE000LS9BSM0; 204050.90 ;0.91;0.09
2017-04-01;regel-nr-1-kein-geld-verlieren;DE000LS9DLQ2; 193035.64 ;0.97;0.03
