date;name;isin;invested_captial;equity;cash
2017-03-25;gelassenlangfristig;DE000LS9CFG7; 5400.15 ;0.53;0.47
2017-03-25;evergrow;DE000LS9ECF2; 5395.23 ;0.98;0.02
2017-03-25;wonderful-companys-strategie;DE000LS9KZ02; 5315.08 ;0.95;0.05
2017-03-25;aktie-produkt-begehrenswert;DE000LS9J2X3; 5307.14 ;1.0;-0.0
2017-03-25;top-10-global-brands;DE000LS9FQF9; 5200.86 ;0.99;0.01
2017-03-25;videospiele;DE000LS9KTE6; 5118.01 ;1.0;0.0
2017-03-25;value-liquiditaet;DE000LS9FBW6; 5092.70 ;0.89;0.11
2017-03-25;innovationen-und-megatrends;DE000LS9EWV7; 5019.35 ;0.98;0.02
2017-03-25;aktienwerte-abonkow;DE000LS9JMX3; 4942.75 ;0.4;0.6
2017-03-25;poleam-aktien-werte-strategie;DE000LS9GZG6; 4865.48 ;0.62;0.38
2017-03-25;shareradar-global-gaming;DE000LS9BYY3; 4718.72 ;0.68;0.32
2017-03-25;internet-der-dinge-iot;DE000LS9GKA1; 4550.25 ;0.98;0.02
2017-03-25;internet-spekulativ;DE000LS9AUK2; 4218.86 ;0.99;0.01
2017-03-25;3d-drucker-best-of;DE000LS9CHT6; 4078.05 ;1.04;-0.04
2017-03-25;fundamental-one;DE000LS9GLD3; 3637.82 ;1.01;-0.01
2017-03-25;big-data-fintech-profiteure;DE000LS9JND3; 3621.80 ;1.01;-0.01
2017-03-25;internet-wiki;DE000LS9DAR3; 3578.83 ;0.98;0.02
2017-03-25;value-investing-only;DE000LS9GLF8; 3364.06 ;0.81;0.19
2017-03-25;7-suenden;DE000LS9ASK6; 3102.77 ;0.97;0.03
2017-03-25;firmen-mit-wettbewerbsvorteilen;DE000LS9J3Y9; 3070.80 ;0.88;0.12
2017-04-01;umbrella;DE000LS9AVX3; 2525545.54 ;0.99;0.01
2017-04-01;boerse-online-silicon-valley;DE000LS9HRZ1; 516292.81 ;0.99;0.01
2017-04-01;etf-werte-des-icax;DE000LS9AJV2; 510237.85 ;0.82;0.18
2017-04-01;augmented-und-virtual-reality;DE000LS9EEQ5; 481925.17 ;1.0;0.0
