date;name;isin;invested_captial;equity;cash
2017-04-01;stroh-zu-gold;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;underdogs-aktienwerte-weltweit;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;dividendensteigerung;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;die-dividendenstrategie;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;value-momentum-plus;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;nebenwerte-deutschland;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;top-branchen-outperf-dach-star;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;wachstum-mit-nur-einer-aktie;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;europa-upside-dach-star;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;robotik;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;selektion-nach-leverm-offensiv;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;momentumstrategie-deutschland;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;kurschancen-bei-turnaround-kandidaten;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;top-germany-outperf-dach-star;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;nolimits;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;succestecbrands;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;shorttimetrading;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;aktienrueckkaeufe-und-dividendenerhoehungen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;mawero-effizienz1;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;top-pics-of-the-year;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;solide-unternehmen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;immobilienfirmen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;top-10-goldminen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;tenbagger-strategie;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;bonuszertifikate-werte-offensiv;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;passiv-momentum-12m;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;discounter-global-plus;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;futecus;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;dogs-of-the-dow-low-five;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;trend-select-prime;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;deutsche-immobilienaktien;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;rogo-us-value;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;regel-nr-1-kein-geld-verlieren;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;pferde-in-form;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;tenbagger-sei-aufmerksam;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;batteriespeicher;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;cme-electromobility-smart-energy;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;mawero-effizienz2;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;precious-metals-silver;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;europa-finest-selection;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;trendstaerke-rangliste-deutschl;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;qi-minimum-volatility-germany;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;bonus-zertifikat-werte;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;germanallcap-fokus-nebenwerte;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;small-caps-on-stereoids;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;glob-selektion-nach-levermann;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;deutschl-analysten-empfehlungen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;small-caps;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;quantenstein-bachelor;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;autonomes-fahren;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;stock-picking-nach-peter-lynch;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;wachstum-mit-substanz;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;trendfolge-aktien-lehne;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;cashbubblecrash;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;blue-chips-die-bessere-haelfte;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;westfalian-alpha;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;reversal-chancen;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;transcelerate;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;antizyklisch-und-diversifiziert;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;selectplus;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;stockpicker-dividenden-und-cash;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;ki-investor;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;chancen-vs-risiken-deutschland;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;value-ansatz-mit-deutschen-aktien;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;szew-grundinvestment;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;top-bonus-investment-defensiv;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;sicherheit-und-ruestung;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;world-s-best-brands;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;fi-familien-werte-value-garp;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;bonuszertifikat-werte-kurz;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;starke-europaeische-aktien;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-01;ant1-frag-hps-worldwide;DE000LS9CHS8; 668300.55 ;1.0;0.0
2017-04-08;qualitaet-angelehnt-an-susan-levermann;DE000LS9AJF5; 22331981.51 ;1.0;0.0
2017-04-08;dach-trading-invest;DE000LS9AVD5; 9654738.13 ;0.28;0.72
2017-04-08;boerse-online-nebenwerte;DE000LS9BLQ6; 9610836.43 ;0.8;0.2
2017-04-08;deutscher-mittelstand;DE000LS9CTA1; 5615011.49 ;1.0;0.0
2017-04-08;carpe-diem-aktientrading;DE000LS9HFZ6; 4862483.14 ;0.41;0.59
2017-04-08;rohstoffwerte;DE000LS9JK44; 3128785.07 ;0.83;0.17
2017-04-08;abacus;DE000LS9HZ72; 2745849.74 ;0.21;0.79
2017-04-08;umbrella;DE000LS9AVX3; 2574902.84 ;1.0;0.0
2017-04-08;chancen-suchen-und-finden;DE000LS9BNT6; 1963581.61 ;1.0;0.0
2017-04-08;special-situations;DE000LS9AKJ5; 1839869.66 ;0.84;0.16
2017-04-08;aschenputtell;DE000LS9EUF4; 1429928.89 ;0.95;0.05
2017-04-08;volatrader;DE000LS9CPZ6; 1225751.43 ;0.0;1.0
2017-04-08;quality-fundamental-selection;DE000LS9JLP1; 1154574.06 ;0.7;0.3
2017-04-08;bonusertrag;DE000LS9H4J0; 1019914.40 ;0.0;0.56
2017-04-08;uro-am-sonntag-var-strategie;DE000LS9HDH9; 982668.16 ;0.99;0.01
2017-04-08;ausis-gold-silber-minen;DE000LS9HUY8; 958249.94 ;0.98;0.02
2017-04-08;financialist;DE000LS9CUY9; 879743.84 ;0.9;0.1
2017-04-08;unterbewertete-marken-aktien-wachstum;DE000LS9AGH7; 728334.58 ;0.84;0.15
2017-04-08;fundamental-unterbewertete-aktien;DE000LS9ADM4; 684579.89 ;0.83;0.17
2017-04-08;goldesel-investing;DE000LS9KR85; 679457.83 ;0.77;0.23
2017-04-08;top-global-brands;DE000LS9CHS8; 673680.97 ;0.99;0.01
2017-04-08;aktien-yeah;DE000LS9BUM6; 654168.46 ;0.81;0.19
2017-04-08;pr1me-vv-folio-global;DE000LS9GMW1; 607705.69 ;1.0;0.0
2017-04-08;global-best-equity-t-p-2;DE000LS9JGA3; 533743.93 ;0.97;0.03
2017-04-08;boerse-online-silicon-valley;DE000LS9HRZ1; 526388.35 ;1.0;0.0
2017-04-08;etf-werte-des-icax;DE000LS9AJV2; 503816.73 ;0.83;0.17
2017-04-08;underdogs-aktienwerte-weltweit;DE000LS9H622; 481048.32 ;1.0;0.0
2017-04-08;augmented-und-virtual-reality;DE000LS9EEQ5; 461918.50 ;1.0;0.0
2017-04-08;trendfolge-strategie-2014;DE000LS9DMX6; 460701.04 ;0.94;0.06
2017-04-08;stroh-zu-gold;DE000LS9AXQ3; 456227.34 ;1.0;0.0
2017-04-08;dividendensteigerung;DE000LS9AFK3; 440532.13 ;0.78;0.22
2017-04-08;die-dividendenstrategie;DE000LS9APT3; 428248.30 ;0.94;0.06
2017-04-08;value-momentum-plus;DE000LS9BAK2; 422592.83 ;1.0;0.0
2017-04-08;investmentfox-nebenwerte;DE000LS9ELB2; 393751.27 ;0.95;0.04
2017-04-08;nebenwerte-deutschland;DE000LS9CSY3; 373991.59 ;0.93;0.07
2017-04-08;top-branchen-outperf-dach-star;DE000LS9HU28; 364477.01 ;0.0;0.0
2017-04-08;wachstum-mit-nur-einer-aktie;DE000LS9BDT7; 363027.33 ;0.52;0.48
2017-04-08;robotik;DE000LS9EEY9; 353954.41 ;1.0;-0.0
2017-04-08;europa-upside-dach-star;DE000LS9H0P5; 351135.15 ;0.0;0.01
2017-04-08;momentumstrategie-deutschland;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;selektion-nach-leverm-offensiv;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;kurschancen-bei-turnaround-kandidaten;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;top-germany-outperf-dach-star;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;nolimits;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;succestecbrands;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;shorttimetrading;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;aktienrueckkaeufe-und-dividendenerhoehungen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;mawero-effizienz1;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;tenbagger-strategie;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;top-pics-of-the-year;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;solide-unternehmen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;immobilienfirmen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;bonuszertifikate-werte-offensiv;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;passiv-momentum-12m;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;discounter-global-plus;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;trend-select-prime;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;rogo-us-value;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;dogs-of-the-dow-low-five;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;deutsche-immobilienaktien;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;top-10-goldminen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;futecus;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;germanallcap-fokus-nebenwerte;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;regel-nr-1-kein-geld-verlieren;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;pferde-in-form;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;bonus-zertifikat-werte;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;batteriespeicher;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;tenbagger-sei-aufmerksam;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;cme-electromobility-smart-energy;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;mawero-effizienz2;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;precious-metals-silver;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;europa-finest-selection;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;trendstaerke-rangliste-deutschl;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;qi-minimum-volatility-germany;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;small-caps-on-stereoids;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;glob-selektion-nach-levermann;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;rolling-discount-strategie;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;deutschl-analysten-empfehlungen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;cashbubblecrash;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;small-caps;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;quantenstein-bachelor;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;wachstum-mit-substanz;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;autonomes-fahren;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;stock-picking-nach-peter-lynch;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;trendfolge-aktien-lehne;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;blue-chips-die-bessere-haelfte;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;westfalian-alpha;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;transcelerate;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;reversal-chancen;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;antizyklisch-und-diversifiziert;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;stockpicker-smallmidcap-und-cash;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;selectplus;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;ki-investor;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;stockpicker-dividenden-und-cash;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;chancen-vs-risiken-deutschland;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;value-ansatz-mit-deutschen-aktien;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;bonuszertifikat-werte-kurz;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;szew-grundinvestment;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;top-bonus-investment-defensiv;DE000LS9BFX4; 348057.55 ;0.94;0.06
2017-04-08;world-s-best-brands;DE000LS9BFX4; 348057.55 ;0.94;0.06
